species,long,lat
Alouatta_caraya_0,-53.833333,-26.5
Alouatta_caraya_0,-54.21865,-25.67236
Alouatta_caraya_0,-59.46593,-28.74176
Alouatta_caraya_0,-54.16236,-25.6812
Alouatta_caraya_0,-59.6087,-26.8112
Alouatta_caraya_0,-58.1753,-25.12303
Alouatta_caraya_0,-58.12925,-25.17366
Alouatta_caraya_0,-57.19667,-28.556631
Alouatta_caraya_0,-58.08638,-28.03417
Alouatta_caraya_0,-58.037274,-28.016601
Alouatta_caraya_0,-57.051765,-19.320061
Alouatta_caraya_0,-56.249411,-19.587931
Alouatta_caraya_0,-54.54691,-25.63332
Alouatta_caraya_0,-54.41598,-27.31807
Alouatta_caraya_0,-57.99304,-25.08544
Alouatta_caraya_0,-58.18299,-25.11977
Alouatta_caraya_0,-54.48111,-25.69141
Alouatta_caraya_0,-54.51368,-25.65295
Alouatta_caraya_0,-54.4392,-25.69674
Alouatta_caraya_0,-54.53856,-25.76319
Alouatta_caraya_0,-54.104565,-12.144103
Alouatta_caraya_0,-54.46493,-25.64674
Alouatta_caraya_0,-54.14212,-25.68237
Alouatta_caraya_0,-51.0375,-14.3915
Alouatta_caraya_0,-54.5427,-25.65372
Alouatta_caraya_0,-54.15803,-25.57177
Alouatta_caraya_0,-54.24917,-25.67267
Alouatta_caraya_0,-57.625,-27.3183
Alouatta_caraya_0,-54.15333,-25.64776
Alouatta_caraya_0,-54.15306,-25.65732
Alouatta_caraya_0,-61.737671,-13.62797
Alouatta_caraya_0,-64.95,-14.78
Alouatta_caraya_0,-54.1597,-25.66078
Alouatta_caraya_0,-54.2253,-25.67811
Alouatta_caraya_0,-54.16804,-25.68067
Alouatta_caraya_0,-57.19598,-28.54776
Alouatta_caraya_0,-54.33514,-25.59762
Alouatta_caraya_0,-54.3185,-25.56984
Alouatta_caraya_0,-54.32937,-25.57998
Alouatta_caraya_0,-54.42604,-25.71508
Alouatta_caraya_0,-54.44558,-25.68752
Alouatta_caraya_0,-54.44723,-25.69238
Alouatta_caraya_0,-54.44821,-25.68505
Alouatta_caraya_0,-58.78223,-27.48758
Alouatta_caraya_0,-54.45756,-25.65527
Alouatta_caraya_0,-54.42604,-25.70317
Alouatta_caraya_0,-59.950556,-15.008333
Alouatta_caraya_0,-58.78333,-27.78333
Alouatta_caraya_0,-59.049999,-28.5
Alouatta_caraya_0,-64.816666,-13.066666
Alouatta_caraya_0,-54.52,-25.86
Alouatta_caraya_0,-58.62983,-26.24238
Alouatta_caraya_0,-59.63327,-28.62458
Alouatta_mauroi_0.126,-41.52,-10.98
Alouatta_palliata_0,-85.669505,10.590572
Alouatta_palliata_0,-85.669475,10.590582
Alouatta_palliata_0,-85.669418,10.590565
Alouatta_palliata_0,-85.66948,10.590555
Alouatta_palliata_0,-84.753517,10.4883
Alouatta_palliata_0,-85.66943,10.590567
Alouatta_palliata_0,-84.064186,10.449712
Alouatta_palliata_0,-80.137559,-0.091968
Alouatta_palliata_0,-83.336632,8.404811
Alouatta_palliata_0,-85.009403,10.713318
Alouatta_palliata_0,-84.688726,10.503815
Alouatta_palliata_0,-84.102569,10.361111
Alouatta_palliata_0,-83.336565,8.404006
Alouatta_palliata_0,-83.334222,8.40478
Alouatta_palliata_0,-83.334902,8.404162
Alouatta_palliata_0,-83.343217,8.410372
Alouatta_palliata_0,-83.589436,8.480228
Alouatta_palliata_0,-80.585067,8.07001
Alouatta_palliata_0,-79.71651,9.131031
Alouatta_palliata_0,-83.116508,9.9762
Alouatta_palliata_0,-84.146418,9.3915
Alouatta_palliata_0,-84.925549,9.786301
Alouatta_palliata_0,-85.128792,10.279587
Alouatta_palliata_0,-87.554649,15.804219
Alouatta_palliata_0,-83.302003,8.385283
Alouatta_palliata_0,-79.694899,9.128211
Alouatta_palliata_0,-85.110298,10.442005
Alouatta_palliata_0,-85.110237,10.441962
Alouatta_palliata_0,-85.550142,10.788827
Alouatta_palliata_0,-85.550097,10.788852
Alouatta_palliata_0,-85.55017,10.789048
Alouatta_palliata_0,-85.550065,10.788878
Alouatta_palliata_0,-85.550172,10.788863
Alouatta_palliata_0,-85.550095,10.788872
Alouatta_palliata_0,-85.550087,10.788867
Alouatta_palliata_0,-85.55012,10.788847
Alouatta_palliata_0,-85.550082,10.788868
Alouatta_palliata_0,-85.55017,10.78886
Alouatta_palliata_0,-85.110237,10.441968
Alouatta_palliata_0,-84.784007,10.889729
Alouatta_palliata_0,-84.603923,9.777245
Alouatta_palliata_0,-83.572998,8.542998
Alouatta_palliata_0,-83.295248,8.531873
Alouatta_palliata_0,-84.79567,10.89241
Alouatta_palliata_0,-85.845768,10.24614
Alouatta_palliata_0,-84.145119,9.390445
Alouatta_palliata_0,-84.006971,10.430623
Alouatta_palliata_0,-83.881971,9.271022
Alouatta_palliata_0,-84.004396,10.431621
Alouatta_palliata_0,-84.005076,10.43136
Alouatta_palliata_0,-84.795914,10.302759
Alouatta_palliata_0,-85.273362,10.538574
Alouatta_palliata_0,-79.86977,9.311589
Alouatta_palliata_0,-84.006287,10.427641
Alouatta_palliata_0,-84.136988,9.392308
Alouatta_palliata_0,-84.019386,10.453987
Alouatta_palliata_0,-82.691075,9.6392
Alouatta_palliata_0,-82.693615,9.635253
Alouatta_palliata_0,-82.82029,9.740588
Alouatta_palliata_0,-79.869893,9.311746
Alouatta_palliata_0,-82.501925,8.846825
Alouatta_palliata_0,-83.344444,8.411353
Alouatta_palliata_0,-82.499554,8.852083
Alouatta_palliata_0,-83.291654,8.385727
Alouatta_palliata_0,-83.289383,8.396005
Alouatta_palliata_0,-85.406185,10.359387
Alouatta_palliata_0,-79.716597,9.131682
Alouatta_palliata_0,-83.584519,8.480742
Alouatta_palliata_0,-85.52613,10.4139
Alouatta_palliata_0,-83.345484,8.411807
Alouatta_palliata_0,-86.540539,15.798741
Alouatta_palliata_0,-79.715228,9.124364
Alouatta_palliata_0,-79.836822,9.165481
Alouatta_palliata_0,-84.79569,10.30264
Alouatta_palliata_0,-82.940055,9.816233
Alouatta_palliata_0,-85.674527,9.968086
Alouatta_palliata_0,-84.728149,10.461214
Alouatta_palliata_0,-84.482558,10.488895
Alouatta_palliata_0,-84.794027,10.043672
Alouatta_palliata_0,-79.714685,9.124749
Alouatta_palliata_0,-85.057075,10.72911
Alouatta_palliata_0,-85.057026,10.72912
Alouatta_palliata_0,-79.714607,9.126862
Alouatta_palliata_0,-85.056723,10.727595
Alouatta_palliata_0,-85.056743,10.727603
Alouatta_palliata_0,-85.660026,9.922859
Alouatta_palliata_0,-85.660166,9.92272
Alouatta_palliata_0,-81.729482,7.437487
Alouatta_palliata_0,-79.398909,9.249859
Alouatta_palliata_0,-82.420386,9.399755
Alouatta_palliata_0,-79.69643,9.120562
Alouatta_palliata_0,-82.67226,8.888393
Alouatta_palliata_0,-85.040542,10.138621
Alouatta_palliata_0,-82.748755,9.658848
Alouatta_palliata_0,-84.1389,9.389587
Alouatta_palliata_0,-84.236971,10.669614
Alouatta_palliata_0,-84.787197,10.893384
Alouatta_palliata_0,-84.141753,9.383803
Alouatta_palliata_0,-84.169147,9.39633
Alouatta_palliata_0,-85.443671,10.62674
Alouatta_palliata_0,-84.141594,9.383978
Alouatta_palliata_0,-85.851149,10.291285
Alouatta_palliata_0,-85.851972,10.291934
Alouatta_palliata_0,-84.191444,10.700974
Alouatta_palliata_0,-84.124146,10.415561
Alouatta_palliata_0,-84.191246,10.699928
Alouatta_palliata_0,-84.125275,10.41632
Alouatta_palliata_0,-79.76039,9.099421
Alouatta_palliata_0,-84.191093,10.700946
Alouatta_palliata_0,-85.398449,9.853082
Alouatta_palliata_0,-85.394009,9.852302
Alouatta_palliata_0,-85.398151,9.851983
Alouatta_palliata_0,-85.389326,9.852853
Alouatta_palliata_0,-85.396299,9.852605
Alouatta_palliata_0,-85.397587,9.851347
Alouatta_palliata_0,-85.397673,9.852796
Alouatta_palliata_0,-85.400719,9.85271
Alouatta_palliata_0,-85.393553,9.851711
Alouatta_palliata_0,-85.397673,9.852299
Alouatta_palliata_0,-82.708633,9.63813
Alouatta_palliata_0,-82.688374,9.639013
Alouatta_palliata_0,-82.688576,9.638997
